,product_id,product_name,seller_id,seller_name,seller_product_id,primary_category_name,brand_id,brand_name,discount,discount_rate,original_price,price,rating_average,review_count,shipping_code,shipping_text,completion_time
17,73166444,Chuột không dây Bluetooth Logitech MX Master 3 - Hàng chính hãng,333,Trọng Ân audio,78917486,Chuột Văn Phòng Không Dây,18984,Logitech,0,0,1949000,1949000,5.0,37,delivery_info_badge,"Giao thứ 2, ngày 29/05",2023-05-27 00:38:01.348564
18,702132,"Chuột không dây Bluetooth Logitech MX Master 2s - form to, dùng mọi bề mặt, con lăn Hyperfast, sạc nhanh USB-A, phù hợp Mac/ Laptop - Hàng chính hãng",333,Trọng Ân audio,55922250,Chuột Văn Phòng Không Dây,18984,Logitech,0,0,1389000,1389000,4.3,15,delivery_info_badge,"Giao thứ 2, ngày 29/05",2023-05-27 00:38:01.348564
19,159849415,Chuột không dây Bluetooth Logitech MX Anywhere 3 - Hàng chính hãng,224581,Speedss Store,171968514,Chuột Văn Phòng Không Dây,18984,Logitech,35500,2,1555500,1520000,0.0,0,delivery_info_badge,"Giao thứ 2, ngày 29/05",2023-05-27 00:38:01.348564
20,174490279,"Chuột không dây bluetooth Logitech Signature M650 - Dành cho tay có kích cỡ từ nhỏ tới trung bình, Cuộn SmartWheel, giảm ồn, các nút bên có thể tùy chỉnh - Hàng chính hãng",192004,Logitech Official Store,174490281,Chuột Văn Phòng Không Dây,18984,Logitech,249000,29,869000,620000,5.0,325,tikinow,Giao siêu tốc 2H,2023-05-27 00:38:01.348564
21,118536258,Chuột không dây LOGITECH MX ANYWHERE 3 WIRELESS/BLUETOOTH,117842,Hưng Thịnh HN,118536260,Chuột Văn Phòng Không Dây,18984,Logitech,0,0,1599000,1599000,0.0,0,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:01.348564
22,216335227,"Chuột không dây Bluetooth Logitech MX Anywhere 2s - nhỏ gọn, dùng mọi bề mặt, con lăn HyperFast, sạc nhanh USB-A, phù hợp Mac/ Laptop - Hàng chính hãng",60386,VNB STORE,216335224,Chuột Văn Phòng Không Dây,18984,Logitech,0,0,1149000,1149000,0.0,0,delivery_info_badge,"Giao thứ 4, ngày 31/05",2023-05-27 00:38:01.348564
23,121242333,Chuột không dây Logitech MX Anywhere 3 màu hồng-Hàng chính hãng,212803,Thành Nhân SINCE 1994,121242340,Chuột Văn Phòng Không Dây,18984,Logitech,0,0,1490000,1490000,5.0,2,delivery_info_badge,"Giao thứ 2, ngày 29/05",2023-05-27 00:38:01.348564
24,76749388,"Chuột không dây Bluetooth Logitech MX Master 3 - form to, kết nối 3 thiết bị, cuộn siêu nhanh, sạc nhanh USB-C, có bản cho Mac - Hàng chính hãng",27572,NGUYENVUSTORE,78953910,Chuột Văn Phòng Không Dây,18984,Logitech,510000,20,2490000,1980000,4.8,34,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
25,173058453,"Chuột không dây bluetooth Logitech POP MOUSE - giảm ồn, nút emoji tùy chỉnh - Hàng chính hãng",192004,Logitech Official Store,173058457,Chuột Văn Phòng Không Dây,18984,Logitech,326000,36,899000,573000,5.0,148,tikinow,Giao siêu tốc 2H,2023-05-27 00:38:01.348564
26,160305471,Chuột không dây Bluetooth Logitech MX Master 3 - Hàng chính hãng,915,Nova Computer,181171045,Chuột Văn Phòng Không Dây,18984,Logitech,101000,5,2190000,2089000,5.0,1,delivery_info_badge,"Giao thứ 3, ngày 30/05",2023-05-27 00:38:01.348564
