,product_id,seller_id,seller_name,seller_level,all_time_quantity_sold,category_id,category_name,day_ago_created,discount,discount_rate,favourite_count,gift_item_title,inventory_status,inventory_type,list_price,quantity_sold,rating_average,review_count,url,configurable_products,1_star_count,1_star_percent,2_star_count,2_star_percent,3_star_count,3_star_percent,4_star_count,4_star_percent,5_star_count,5_star_percent,completion_time
97,249205874,249464,SHOP VL288,NONE,,1838,Chuột Văn Phòng Không Dây,58,0,0,0,0 quà tặng kèm,available,backorder,349900,0,0.0,0,https://tiki.vn/product-p249205874.html?spid=249205878,"[[249205877, 'Chuột không dây XUNFOX XYH20 3 chế độ kết nối với thiết kế trong suốt mới lạ kèm theo nhiều chế độ đèn led RGB - VL - Màu trắng', 'Màu trắng', 349900, 'available'], [249205875, 'Chuột không dây XUNFOX XYH20 3 chế độ kết nối với thiết kế trong suốt mới lạ kèm theo nhiều chế độ đèn led RGB - VL - Màu Đen', 'Màu Đen', 349900, 'available']]",0,0,0,0,0,0,0,0,0,0,2023-05-27 14:12:47.508948
98,105188240,112487,Công Nghệ Việt Anh,NONE,1.0,1838,Chuột Văn Phòng Không Dây,713,25000,9,0,0 quà tặng kèm,available,backorder,279000,1,4.0,1,https://tiki.vn/product-p105188240.html?spid=138828368,"[[105188244, 'Chuột Không Dây OT.3 - Vàng', 'Vàng', 254000, 'available'], [105188251, 'Chuột Không Dây OT.3 - Xanh', 'Xanh', 254000, 'available'], [105188269, 'Chuột Không Dây OT.3 - Xám', 'Xám', 254000, 'available'], [105188258, 'Chuột Không Dây OT.3 - Bạc', 'Bạc', 254000, 'available']]",0,0,0,0,0,0,1,100,0,0,2023-05-27 14:12:49.116233
99,52177416,112487,Công Nghệ Việt Anh,NONE,8.0,1815,Thiết Bị Số - Phụ Kiện Số,1145,27000,11,0,0 quà tặng kèm,available,backorder,249000,8,3.0,2,https://tiki.vn/product-p52177416.html?spid=52206829,"[[52206832, 'Chuột không dây chất - độc - lạ V1.3 - Xanh', 'Đỏ', 222000, 'available'], [52206834, 'Chuột không dây chất - độc - lạ V1.3 - Xám', 'Vàng', 222000, 'available'], [52206826, 'Chuột không dây chất - độc - lạ V1.3 - Đen', 'Xám', 222000, 'available'], [52206828, 'Chuột không dây chất - độc - lạ V1.3 - Trắng', 'Bạc', 222000, 'available']]",1,50,0,0,0,0,0,0,1,50,2023-05-27 14:12:50.725654
100,101284469,165536,DDLstore,TRUSTED_STORE,522.0,1838,Chuột Văn Phòng Không Dây,0,51000,20,0,0 quà tặng kèm,available,backorder,249000,522,4.5,148,https://tiki.vn/product-p101284469.html?spid=101284471,"[[101284470, 'Chuột Văn Phòng Không Dây Cao Cấp  IMICE G-6 Silent 2.4G Wireless, 6 nút điều khiển, Kết Nối Nhanh,  Bộ Thu Nano Tự Động Kết Nối Khoảng Cách Làm Việc 10m Tiết Kiệm Pin Thông Minh Độ Phân Giải 800/1200/1600DPI - Hàng Chính Hãng -  Đen cao cấp', ' Đen cao cấp', 198000, 'available'], [101284472, 'Chuột Văn Phòng Không Dây Cao Cấp  IMICE G-6 Silent 2.4G Wireless, 6 nút điều khiển, Kết Nối Nhanh,  Bộ Thu Nano Tự Động Kết Nối Khoảng Cách Làm Việc 10m Tiết Kiệm Pin Thông Minh Độ Phân Giải 800/1200/1600DPI - Hàng Chính Hãng - Gray', 'Gray', 196000, 'available'], [101284474, 'Chuột Văn Phòng Không Dây Cao Cấp  IMICE G-6 Silent 2.4G Wireless, 6 nút điều khiển, Kết Nối Nhanh,  Bộ Thu Nano Tự Động Kết Nối Khoảng Cách Làm Việc 10m Tiết Kiệm Pin Thông Minh Độ Phân Giải 800/1200/1600DPI - Hàng Chính Hãng - đỏ', 'đỏ', 226000, 'available']]",10,6,6,4,4,2,21,15,107,73,2023-05-27 14:12:52.383552
101,52343292,112487,Công Nghệ Việt Anh,NONE,5.0,1815,Thiết Bị Số - Phụ Kiện Số,1142,20500,8,0,0 quà tặng kèm,available,backorder,268500,5,3.6,5,https://tiki.vn/product-p52343292.html?spid=55854188,"[[52343295, 'Chuột quang không dây cá tính v1.3 cao cấp - Hàng nhập khẩu - Vàng', 'Vàng', 248000, 'available'], [52343297, 'Chuột quang không dây cá tính v1.3 cao cấp - Hàng nhập khẩu - Xanh', 'Xanh', 248000, 'available'], [52343293, 'Chuột quang không dây cá tính v1.3 cao cấp - Hàng nhập khẩu - Bạc', 'Bạc', 248000, 'available'], [52343299, 'Chuột quang không dây cá tính v1.3 cao cấp - Hàng nhập khẩu - Xám', 'Xám', 248000, 'available']]",1,20,0,0,1,20,1,20,2,40,2023-05-27 14:12:54.016640
102,203913453,9219,CÔNG TY TAKO,NONE,,1838,Chuột Văn Phòng Không Dây,200,0,0,0,0 quà tặng kèm,available,backorder,180000,0,0.0,0,https://tiki.vn/product-p203913453.html?spid=203913459,"[[203913458, 'Chuột máy tính không dây Lecoo WS202, thiết kế nhỏ gọn, 3 độ phân giải DPI khác nhau - BH 24 tháng Hàng nhập khẩu - Xám', 'Xám', 180000, 'available'], [203913462, 'Chuột máy tính không dây Lecoo WS202, thiết kế nhỏ gọn, 3 độ phân giải DPI khác nhau - BH 24 tháng Hàng nhập khẩu - Hồng', 'Hồng', 180000, 'available'], [203913456, 'Chuột máy tính không dây Lecoo WS202, thiết kế nhỏ gọn, 3 độ phân giải DPI khác nhau - BH 24 tháng Hàng nhập khẩu - Trắng', 'Trắng', 180000, 'available'], [203913460, 'Chuột máy tính không dây Lecoo WS202, thiết kế nhỏ gọn, 3 độ phân giải DPI khác nhau - BH 24 tháng Hàng nhập khẩu - Xanh', 'Xanh', 180000, 'available']]",0,0,0,0,0,0,0,0,0,0,2023-05-27 14:12:56.059043
103,41354841,119404,BÒN BON STORE,NONE,3.0,2,Root,1289,0,0,0,0 quà tặng kèm,available,backorder,119000,3,5.0,1,https://tiki.vn/product-p41354841.html?spid=52322294,[],0,0,0,0,0,0,0,0,1,100,2023-05-27 14:12:57.875016
104,208310591,16801,PhuKienDienTu VN,NONE,,1838,Chuột Văn Phòng Không Dây,170,0,0,0,0 quà tặng kèm,available,backorder,200000,0,0.0,0,https://tiki.vn/product-p208310591.html?spid=217778635,[],0,0,0,0,0,0,0,0,0,0,2023-05-27 14:12:59.452533
105,201475489,255537,Digicom Store,NONE,61.0,1838,Chuột Văn Phòng Không Dây,221,40000,28,0,1 quà tặng kèm trị giá 5.000₫,available,backorder,145000,61,5.0,17,https://tiki.vn/product-p201475489.html?spid=201475505,"[[201475504, 'Chuột máy tính không dây bluetooth và USB 2.4 A36 chống ồn có LED đổi màu pin sạc không cần thay dùng làm việc chơi game cực chất - Màu Đen - USB 2.4GHz', 'Màu Đen - USB 2.4GHz', 105000, 'available'], [201475498, 'Chuột máy tính không dây bluetooth và USB 2.4 A36 chống ồn có LED đổi màu pin sạc không cần thay dùng làm việc chơi game cực chất - Màu Vàng - Bluetooth + USB 2.4GHz', 'Màu Vàng - Bluetooth + USB 2.4GHz', 115000, 'available'], [201475502, 'Chuột máy tính không dây bluetooth và USB 2.4 A36 chống ồn có LED đổi màu pin sạc không cần thay dùng làm việc chơi game cực chất - Màu Đen - Bluetooth + USB 2.4GHz', 'Màu Đen - Bluetooth + USB 2.4GHz', 115000, 'available'], [201475492, 'Chuột máy tính không dây bluetooth và USB 2.4 A36 chống ồn có LED đổi màu pin sạc không cần thay dùng làm việc chơi game cực chất - Màu Bạc - USB 2.4GHz', 'Màu Bạc - USB 2.4GHz', 105000, 'available'], [201475496, 'Chuột máy tính không dây bluetooth và USB 2.4 A36 chống ồn có LED đổi màu pin sạc không cần thay dùng làm việc chơi game cực chất - Màu Trắng - USB 2.4GHz', 'Màu Trắng - USB 2.4GHz', 105000, 'available'], [201475500, 'Chuột máy tính không dây bluetooth và USB 2.4 A36 chống ồn có LED đổi màu pin sạc không cần thay dùng làm việc chơi game cực chất - Màu Vàng - USB 2.4GHz', 'Màu Vàng - USB 2.4GHz', 105000, 'available'], [201475494, 'Chuột máy tính không dây bluetooth và USB 2.4 A36 chống ồn có LED đổi màu pin sạc không cần thay dùng làm việc chơi game cực chất - Màu Trắng - Bluetooth + USB 2.4GHz', 'Màu Trắng - Bluetooth + USB 2.4GHz', 115000, 'available'], [201475490, 'Chuột máy tính không dây bluetooth và USB 2.4 A36 chống ồn có LED đổi màu pin sạc không cần thay dùng làm việc chơi game cực chất - Màu Bạc - Bluetooth + USB 2.4GHz', 'Màu Bạc - Bluetooth + USB 2.4GHz', 115000, 'available']]",0,0,0,0,0,0,1,5,16,95,2023-05-27 14:13:01.729352
106,253125554,332692,Nhà Bếp Thông Minh 99,NONE,,2,Root,27,0,0,0,0 quà tặng kèm,available,backorder,150000,0,0.0,0,https://tiki.vn/product-p253125554.html?spid=253125561,[],0,0,0,0,0,0,0,0,0,0,2023-05-27 14:13:03.275978
